cluster,query,intent,funnel_stage,target_page,current_page,gsc_impressions,gsc_clicks,gsc_position,product_fit,evidence,status,notes
pdf-photo-to-editable-qr-menu,convert PDF menu to QR code,transactional,bottom,/qr-menu-from-pdf,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Live SERP: PDF upload generators and menu SaaS; README confirms editable PDF import",approved,"Hub primary query; differentiate mobile extraction from PDF hosting"
pdf-photo-to-editable-qr-menu,upload restaurant menu PDF create QR code,transactional,bottom,/qr-menu-from-pdf,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Live SERP: PIATO/Qrinly/Flipsnack upload pages; onboarding supports PDF",approved,"Merged with hub because best-page intent matches"
pdf-photo-to-editable-qr-menu,convert restaurant menu to digital menu,commercial,middle,/qr-menu-from-pdf,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"SERP language and product import job; README product truth",approved,"Broader secondary query; do not create duplicate landing page"
pdf-photo-to-editable-qr-menu,turn menu photo into digital menu,informational,middle,/blog/turn-menu-photo-into-digital-menu,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Live SERP: AI digitizers; onboarding accepts menu photos",approved,"Photo capture/preparation and review intent"
pdf-photo-to-editable-qr-menu,scan restaurant menu into digital menu,informational,middle,/blog/turn-menu-photo-into-digital-menu,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Customer wording reflected in menu-photo onboarding; current SERPs use digitize/scan concepts",approved,"Secondary query for photo guide"
pdf-photo-to-editable-qr-menu,PDF menu vs digital menu,commercial,middle,/blog/pdf-menu-vs-mobile-qr-menu,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"SERP contains PDF hosts and mobile menu products; diner criticism identifies PDF readability gap",approved,"Comparison intent, not conversion instructions"
pdf-photo-to-editable-qr-menu,is a PDF menu mobile friendly,informational,top,/blog/pdf-menu-vs-mobile-qr-menu,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Axios diner feedback and mobile-first competitor messaging",approved,"Answer conditionally; avoid universal claims"
pdf-photo-to-editable-qr-menu,edit QR menu without changing QR code,informational,middle,/blog/edit-qr-menu-without-reprinting,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Landing FAQ says edits update instantly and QR never changes",approved,"Maintenance job after initial launch"
pdf-photo-to-editable-qr-menu,update restaurant menu without reprinting,commercial,middle,/blog/edit-qr-menu-without-reprinting,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Competitors repeatedly emphasize live updates/no reprints; Qtable supports editing",approved,"Link to transactional hub"
pdf-photo-to-editable-qr-menu,QR menu launch checklist,informational,bottom,/blog/qr-menu-launch-checklist,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"README launch checklist includes production URL and real-phone scan tests",approved,"Operational QA intent"
pdf-photo-to-editable-qr-menu,test restaurant QR menu before printing,informational,bottom,/blog/qr-menu-launch-checklist,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"README requires real QR scan and template testing",approved,"Include accessibility and fallback checks"
core-qr-menu-software,create QR menu for restaurant,transactional,bottom,/restaurant-qr-menu,/,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Live SERP dominated by restaurant SaaS/product pages; homepage currently carries this broad intent",shortlisted,"Future dedicated page after first cluster"
core-qr-menu-software,digital menu maker for restaurants,transactional,bottom,/restaurant-qr-menu,/,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Live SERP: menu builders with trials/templates/live edits",shortlisted,"Same best-page intent as core software query"
core-qr-menu-software,restaurant QR menu software,commercial,bottom,/restaurant-qr-menu,/,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Live SERP: menu SaaS and POS suites",shortlisted,"State clearly that ordering/POS are not evidenced Qtable features"
mobile-menu-templates,restaurant menu templates digital menu,commercial,middle,/digital-menu-templates,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,medium,"Live SERP dominated by visual galleries; README confirms three customer-facing layouts",deferred,"Requires original gallery proof before approval"
mobile-menu-templates,QR menu design templates restaurant,commercial,middle,/digital-menu-templates,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,medium,"Live SERP emphasizes logo/color/template previews; Qtable has templates and QR style",deferred,"Do not imply printable-template library"
mobile-menu-templates,mobile friendly restaurant menu template,commercial,middle,/digital-menu-templates,NONE,DATA UNAVAILABLE,DATA UNAVAILABLE,DATA UNAVAILABLE,high,"Live SERP emphasizes responsive/mobile-first layouts; Qtable public menus are mobile-facing",deferred,"Publish only with visual and performance proof"
